ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-ML-400,I-85 NORTH MANAGED LANES,Regional - Central,2020,GDOT,2,2,10.8,TBD,FROM BROOKWOOD INTERCHANGE TO I-285 NORTH,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,PE,  ,2014,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$9,680,000","$9,680,000","$0,000","$0,000","$0,000","$179,480,000","$179,480,000"
AR-ML-400,I-85 NORTH MANAGED LANES,Regional - Central,2020,GDOT,2,2,10.8,TBD,FROM BROOKWOOD INTERCHANGE TO I-285 NORTH,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,ROW,  ,2016,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$46,000,000","$46,000,000","$0,000","$0,000","$0,000","$179,480,000","$179,480,000"
AR-ML-400,I-85 NORTH MANAGED LANES,Regional - Central,2020,GDOT,2,2,10.8,TBD,FROM BROOKWOOD INTERCHANGE TO I-285 NORTH,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,UTL,  ,2017,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$2,800,000","$2,800,000","$0,000","$0,000","$0,000","$179,480,000","$179,480,000"
AR-ML-400,I-85 NORTH MANAGED LANES,Regional - Central,2020,GDOT,2,2,10.8,TBD,FROM BROOKWOOD INTERCHANGE TO I-285 NORTH,Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,CST,  ,2017,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$121,000,000","$121,000,000","$0,000","$0,000","$0,000","$179,480,000","$179,480,000"
