ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
RO-138B,SR 138 (STOCKBRIDGE HIGHWAY),Rockdale County,2020,GDOT,2,2,1.1,0002040,FROM EBENEZER ROAD / STANTON ROAD TO PARKER ROAD,Programmed,Roadway Operational Upgrades,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,2007,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$76,000","$0,000","$76,000","$763,000","$191,000","$148,000","$0,000","$1,102,000"
RO-138B,SR 138 (STOCKBRIDGE HIGHWAY),Rockdale County,2020,GDOT,2,2,1.1,0002040,FROM EBENEZER ROAD / STANTON ROAD TO PARKER ROAD,Programmed,Roadway Operational Upgrades,Exempt from Air Quality Analysis (40 CFR 93),ROW,  ,2009,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$72,000","$0,000","$72,000","$763,000","$191,000","$148,000","$0,000","$1,102,000"
RO-138B,SR 138 (STOCKBRIDGE HIGHWAY),Rockdale County,2020,GDOT,2,2,1.1,0002040,FROM EBENEZER ROAD / STANTON ROAD TO PARKER ROAD,Programmed,Roadway Operational Upgrades,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2014-2020,General Federal Aid - 2014-2030,"$763,000","$191,000","$0,000","$0,000","$954,000","$763,000","$191,000","$148,000","$0,000","$1,102,000"
