ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-ML-630,I-75 SOUTH MANAGED LANES,Regional - Southeast,2016,GDOT,0,2,5.4,0009157,FROM SR 138 TO EAGLES LANDING PARKWAY (INCLUDES FLYOVER RAMPS AT I-675),Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,PE,AUTH,2011,STP - Statewide Flexible (GDOT),"$1,200,000","$300,000","$0,000","$0,000","$1,500,000","$11,200,000","$2,800,000","$0,000","$47,496,000","$61,496,000"
AR-ML-630,I-75 SOUTH MANAGED LANES,Regional - Southeast,2016,GDOT,0,2,5.4,0009157,FROM SR 138 TO EAGLES LANDING PARKWAY (INCLUDES FLYOVER RAMPS AT I-675),Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,PE,  ,2012,STP - Urban (>200K) (ARC),"$10,000,000","$2,500,000","$0,000","$0,000","$12,500,000","$11,200,000","$2,800,000","$0,000","$47,496,000","$61,496,000"
AR-ML-630,I-75 SOUTH MANAGED LANES,Regional - Southeast,2016,GDOT,0,2,5.4,0009157,FROM SR 138 TO EAGLES LANDING PARKWAY (INCLUDES FLYOVER RAMPS AT I-675),Programmed,Roadway / Managed Lanes,In the Region's Air Quality Conformity Analysis,CST,  ,2012,GO BONDS (General Obligation),"$0,000","$0,000","$0,000","$47,496,000","$47,496,000","$11,200,000","$2,800,000","$0,000","$47,496,000","$61,496,000"
