ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
CL-AR-179,I-285 EASTBOUND TO I-75 SOUTHBOUND RAMP IMPROVEMENTS,Regional,2016,GDOT,N/A,N/A,N/A,713210-,,Programmed,Roadway / Interchange Upgrade,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,1995,Interstate Maintenance,"$0,000","$0,000","$0,000","$0,000","$0,000","$5,451,323","$605,703","$0,000","$0,000","$6,057,026"
CL-AR-179,I-285 EASTBOUND TO I-75 SOUTHBOUND RAMP IMPROVEMENTS,Regional,2016,GDOT,N/A,N/A,N/A,713210-,,Programmed,Roadway / Interchange Upgrade,Exempt from Air Quality Analysis (40 CFR 93),ROW,  ,2013,Interstate Maintenance,"$1,400,409","$155,601","$0,000","$0,000","$1,556,010","$5,451,323","$605,703","$0,000","$0,000","$6,057,026"
CL-AR-179,I-285 EASTBOUND TO I-75 SOUTHBOUND RAMP IMPROVEMENTS,Regional,2016,GDOT,N/A,N/A,N/A,713210-,,Programmed,Roadway / Interchange Upgrade,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2015,Interstate Maintenance,"$4,050,914","$450,102","$0,000","$0,000","$4,501,016","$5,451,323","$605,703","$0,000","$0,000","$6,057,026"
