ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
RO-015D,PARKER ROAD: PHASE II,Rockdale County,2010,GRTA,2,4,0.5,752380-,FROM FLAT SHOALS ROAD TO CULPEPPER ROAD,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,2003,State Bonds,"$0,000","$0,000","$163,000","$0,000","$163,000","$0,000","$0,000","$2,154,000","$3,993,000","$6,147,000"
RO-015D,PARKER ROAD: PHASE II,Rockdale County,2010,GRTA,2,4,0.5,752380-,FROM FLAT SHOALS ROAD TO CULPEPPER ROAD,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,AUTH,2003,State Bonds,"$0,000","$0,000","$50,000","$790,000","$840,000","$0,000","$0,000","$2,154,000","$3,993,000","$6,147,000"
RO-015D,PARKER ROAD: PHASE II,Rockdale County,2010,GRTA,2,4,0.5,752380-,FROM FLAT SHOALS ROAD TO CULPEPPER ROAD,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,AUTH,2008,State Bonds,"$0,000","$0,000","$1,941,000","$3,203,000","$5,144,000","$0,000","$0,000","$2,154,000","$3,993,000","$6,147,000"
