ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-416,CMAQ LUMP SUM FOR NEW CONFORMING PROJECTS AND EXTENSION OF PREVIOUSLY FUNDED PROGRAMS AND STUDY ACTIVITIES,Regional,2020,TBD,N/A,N/A,N/A,N/A,,Programmed,Other,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,Congestion Mitigation and Air Quality,"$0,000","$0,000","$0,000","$0,000","$0,000","$61,541,990","$0,000","$15,385,498","$0,000","$76,927,488"
AR-416,CMAQ LUMP SUM FOR NEW CONFORMING PROJECTS AND EXTENSION OF PREVIOUSLY FUNDED PROGRAMS AND STUDY ACTIVITIES,Regional,2020,TBD,N/A,N/A,N/A,N/A,,Programmed,Other,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Congestion Mitigation and Air Quality,"$541,990","$0,000","$135,498","$0,000","$677,488","$61,541,990","$0,000","$15,385,498","$0,000","$76,927,488"
AR-416,CMAQ LUMP SUM FOR NEW CONFORMING PROJECTS AND EXTENSION OF PREVIOUSLY FUNDED PROGRAMS AND STUDY ACTIVITIES,Regional,2020,TBD,N/A,N/A,N/A,N/A,,Programmed,Other,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2010,Congestion Mitigation and Air Quality,"$0,000","$0,000","$0,000","$0,000","$0,000","$61,541,990","$0,000","$15,385,498","$0,000","$76,927,488"
AR-416,CMAQ LUMP SUM FOR NEW CONFORMING PROJECTS AND EXTENSION OF PREVIOUSLY FUNDED PROGRAMS AND STUDY ACTIVITIES,Regional,2020,TBD,N/A,N/A,N/A,N/A,,Programmed,Other,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Congestion Mitigation and Air Quality,"$0,000","$0,000","$0,000","$0,000","$0,000","$61,541,990","$0,000","$15,385,498","$0,000","$76,927,488"
AR-416,CMAQ LUMP SUM FOR NEW CONFORMING PROJECTS AND EXTENSION OF PREVIOUSLY FUNDED PROGRAMS AND STUDY ACTIVITIES,Regional,2020,TBD,N/A,N/A,N/A,N/A,,Programmed,Other,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,Congestion Mitigation and Air Quality,"$23,000,000","$0,000","$5,750,000","$0,000","$28,750,000","$61,541,990","$0,000","$15,385,498","$0,000","$76,927,488"
AR-416,CMAQ LUMP SUM FOR NEW CONFORMING PROJECTS AND EXTENSION OF PREVIOUSLY FUNDED PROGRAMS AND STUDY ACTIVITIES,Regional,2020,TBD,N/A,N/A,N/A,N/A,,Programmed,Other,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Congestion Mitigation and Air Quality,"$38,000,000","$0,000","$9,500,000","$0,000","$47,500,000","$61,541,990","$0,000","$15,385,498","$0,000","$76,927,488"
