ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-935C,I-75 / I-575 NORTHWEST CORRIDOR - BOND FUNDS (BACKED BY ANTICIPATED TOLL REVENUE) FOR I-575 MANAGED LANES,Multi-County,2020,GDOT,0,2,11.4,0008256,FROM I-75 NORTH IN COBB COUNTY TO SIXES ROAD IN CHEROKEE COUNTY [SEE ALSO OTHER AR-935 LINE ITEMS FOR ADDITIONAL FUNDS],Programmed,Managed Lanes - Auto / Bus,In the Region's Air Quality Conformity Analysis,ROW,  ,2009,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$19,822,320","$19,822,320","$0,000","$0,000","$0,000","$398,053,999","$398,053,999"
AR-935C,I-75 / I-575 NORTHWEST CORRIDOR - BOND FUNDS (BACKED BY ANTICIPATED TOLL REVENUE) FOR I-575 MANAGED LANES,Multi-County,2020,GDOT,0,2,11.4,0008256,FROM I-75 NORTH IN COBB COUNTY TO SIXES ROAD IN CHEROKEE COUNTY [SEE ALSO OTHER AR-935 LINE ITEMS FOR ADDITIONAL FUNDS],Programmed,Managed Lanes - Auto / Bus,In the Region's Air Quality Conformity Analysis,ROW,  ,2010,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$19,822,320","$19,822,320","$0,000","$0,000","$0,000","$398,053,999","$398,053,999"
AR-935C,I-75 / I-575 NORTHWEST CORRIDOR - BOND FUNDS (BACKED BY ANTICIPATED TOLL REVENUE) FOR I-575 MANAGED LANES,Multi-County,2020,GDOT,0,2,11.4,0008256,FROM I-75 NORTH IN COBB COUNTY TO SIXES ROAD IN CHEROKEE COUNTY [SEE ALSO OTHER AR-935 LINE ITEMS FOR ADDITIONAL FUNDS],Programmed,Managed Lanes - Auto / Bus,In the Region's Air Quality Conformity Analysis,ROW,  ,2011,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$9,911,160","$9,911,160","$0,000","$0,000","$0,000","$398,053,999","$398,053,999"
AR-935C,I-75 / I-575 NORTHWEST CORRIDOR - BOND FUNDS (BACKED BY ANTICIPATED TOLL REVENUE) FOR I-575 MANAGED LANES,Multi-County,2020,GDOT,0,2,11.4,0008256,FROM I-75 NORTH IN COBB COUNTY TO SIXES ROAD IN CHEROKEE COUNTY [SEE ALSO OTHER AR-935 LINE ITEMS FOR ADDITIONAL FUNDS],Programmed,Managed Lanes - Auto / Bus,In the Region's Air Quality Conformity Analysis,CST,  ,2009,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$115,666,552","$115,666,552","$0,000","$0,000","$0,000","$398,053,999","$398,053,999"
AR-935C,I-75 / I-575 NORTHWEST CORRIDOR - BOND FUNDS (BACKED BY ANTICIPATED TOLL REVENUE) FOR I-575 MANAGED LANES,Multi-County,2020,GDOT,0,2,11.4,0008256,FROM I-75 NORTH IN COBB COUNTY TO SIXES ROAD IN CHEROKEE COUNTY [SEE ALSO OTHER AR-935 LINE ITEMS FOR ADDITIONAL FUNDS],Programmed,Managed Lanes - Auto / Bus,In the Region's Air Quality Conformity Analysis,CST,  ,2010,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$60,464,438","$60,464,438","$0,000","$0,000","$0,000","$398,053,999","$398,053,999"
AR-935C,I-75 / I-575 NORTHWEST CORRIDOR - BOND FUNDS (BACKED BY ANTICIPATED TOLL REVENUE) FOR I-575 MANAGED LANES,Multi-County,2020,GDOT,0,2,11.4,0008256,FROM I-75 NORTH IN COBB COUNTY TO SIXES ROAD IN CHEROKEE COUNTY [SEE ALSO OTHER AR-935 LINE ITEMS FOR ADDITIONAL FUNDS],Programmed,Managed Lanes - Auto / Bus,In the Region's Air Quality Conformity Analysis,CST,  ,2011,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$44,886,568","$44,886,568","$0,000","$0,000","$0,000","$398,053,999","$398,053,999"
AR-935C,I-75 / I-575 NORTHWEST CORRIDOR - BOND FUNDS (BACKED BY ANTICIPATED TOLL REVENUE) FOR I-575 MANAGED LANES,Multi-County,2020,GDOT,0,2,11.4,0008256,FROM I-75 NORTH IN COBB COUNTY TO SIXES ROAD IN CHEROKEE COUNTY [SEE ALSO OTHER AR-935 LINE ITEMS FOR ADDITIONAL FUNDS],Programmed,Managed Lanes - Auto / Bus,In the Region's Air Quality Conformity Analysis,CST,  ,2012,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$45,060,817","$45,060,817","$0,000","$0,000","$0,000","$398,053,999","$398,053,999"
AR-935C,I-75 / I-575 NORTHWEST CORRIDOR - BOND FUNDS (BACKED BY ANTICIPATED TOLL REVENUE) FOR I-575 MANAGED LANES,Multi-County,2020,GDOT,0,2,11.4,0008256,FROM I-75 NORTH IN COBB COUNTY TO SIXES ROAD IN CHEROKEE COUNTY [SEE ALSO OTHER AR-935 LINE ITEMS FOR ADDITIONAL FUNDS],Programmed,Managed Lanes - Auto / Bus,In the Region's Air Quality Conformity Analysis,CST,  ,2013,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$41,959,183","$41,959,183","$0,000","$0,000","$0,000","$398,053,999","$398,053,999"
AR-935C,I-75 / I-575 NORTHWEST CORRIDOR - BOND FUNDS (BACKED BY ANTICIPATED TOLL REVENUE) FOR I-575 MANAGED LANES,Multi-County,2020,GDOT,0,2,11.4,0008256,FROM I-75 NORTH IN COBB COUNTY TO SIXES ROAD IN CHEROKEE COUNTY [SEE ALSO OTHER AR-935 LINE ITEMS FOR ADDITIONAL FUNDS],Programmed,Managed Lanes - Auto / Bus,In the Region's Air Quality Conformity Analysis,CST,  ,LR 2014-2020,Toll Revenue Bonds,"$0,000","$0,000","$0,000","$40,460,641","$40,460,641","$0,000","$0,000","$0,000","$398,053,999","$398,053,999"
