ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
HE-110,JODECO ROAD WIDENING AND CAMPGROUND ROAD EXTENSION/REALIGNMENT,Henry County,2020,Henry County,0/2,4,3.0,0000561,AT MEADOWBROOK DRIVE TO PEACH DRIVE (WIDENING OF JODECO) AND FROM PEACH DRIVE TO BRANNAN ROAD (EXTENSION/REALIGNMENT),Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,AUTH,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$18,000,000","$0,000","$18,000,000"
HE-110,JODECO ROAD WIDENING AND CAMPGROUND ROAD EXTENSION/REALIGNMENT,Henry County,2020,Henry County,0/2,4,3.0,0000561,AT MEADOWBROOK DRIVE TO PEACH DRIVE (WIDENING OF JODECO) AND FROM PEACH DRIVE TO BRANNAN ROAD (EXTENSION/REALIGNMENT),Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,  ,2011,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$2,000,000","$0,000","$2,000,000","$0,000","$0,000","$18,000,000","$0,000","$18,000,000"
HE-110,JODECO ROAD WIDENING AND CAMPGROUND ROAD EXTENSION/REALIGNMENT,Henry County,2020,Henry County,0/2,4,3.0,0000561,AT MEADOWBROOK DRIVE TO PEACH DRIVE (WIDENING OF JODECO) AND FROM PEACH DRIVE TO BRANNAN ROAD (EXTENSION/REALIGNMENT),Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2012,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$16,000,000","$0,000","$16,000,000","$0,000","$0,000","$18,000,000","$0,000","$18,000,000"
