ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
RO-232,OLD SALEM ROAD,Rockdale County,2010,GRTA,N/A,N/A,0.4,0004649,AT MCCALLA ROAD,Programmed,Roadway Operational Upgrades,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,2004,State Bonds,"$0,000","$0,000","$0,000","$87,000","$87,000","$0,000","$0,000","$22,250","$775,000","$797,250"
RO-232,OLD SALEM ROAD,Rockdale County,2010,GRTA,N/A,N/A,0.4,0004649,AT MCCALLA ROAD,Programmed,Roadway Operational Upgrades,Exempt from Air Quality Analysis (40 CFR 93),ROW,AUTH,2004,State Bonds,"$0,000","$0,000","$22,250","$118,000","$140,250","$0,000","$0,000","$22,250","$775,000","$797,250"
RO-232,OLD SALEM ROAD,Rockdale County,2010,GRTA,N/A,N/A,0.4,0004649,AT MCCALLA ROAD,Programmed,Roadway Operational Upgrades,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,State Bonds,"$0,000","$0,000","$0,000","$570,000","$570,000","$0,000","$0,000","$22,250","$775,000","$797,250"
