ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
CH-AR-108,I-75 NORTH,Cherokee County,2010,GDOT,N/A,N/A,N/A,610740-,AT SR 92 (CHEROKEE ROAD),Under Contract,Interchange Upgrade,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,AUTH,National Highway System,"$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000"
CH-AR-108,I-75 NORTH,Cherokee County,2010,GDOT,N/A,N/A,N/A,610740-,AT SR 92 (CHEROKEE ROAD),Under Contract,Interchange Upgrade,Exempt from Air Quality Analysis (40 CFR 93),ROW,AUTH,AUTH,National Highway System,"$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000"
CH-AR-108,I-75 NORTH,Cherokee County,2010,GDOT,N/A,N/A,N/A,610740-,AT SR 92 (CHEROKEE ROAD),Under Contract,Interchange Upgrade,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2006,National Highway System,"$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$0,000"
