ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
FS-044,HARRISON ROAD,Fulton County (South),2020,City of College Park,2,4,0.7,N/A,FROM VIRGINIA AVENUE TO CENTRAL AVENUE,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,2008,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$250,000","$0,000","$250,000","$0,000","$0,000","$2,850,000","$0,000","$2,850,000"
FS-044,HARRISON ROAD,Fulton County (South),2020,City of College Park,2,4,0.7,N/A,FROM VIRGINIA AVENUE TO CENTRAL AVENUE,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,  ,2009,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$500,000","$0,000","$500,000","$0,000","$0,000","$2,850,000","$0,000","$2,850,000"
FS-044,HARRISON ROAD,Fulton County (South),2020,City of College Park,2,4,0.7,N/A,FROM VIRGINIA AVENUE TO CENTRAL AVENUE,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2010,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$2,100,000","$0,000","$2,100,000","$0,000","$0,000","$2,850,000","$0,000","$2,850,000"
