ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
GW-340,OLD HIGHWAY 78 / WALTON COURT RE-ALIGNMENT,Gwinnett County,2016,Evermore CID,N/A,N/A,0.2,0008905,,Programmed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,2009,STP - Urban (>200K) (ARC),"$200,000","$0,000","$50,000","$0,000","$250,000","$433,600","$0,000","$340,521","$0,000","$774,121"
GW-340,OLD HIGHWAY 78 / WALTON COURT RE-ALIGNMENT,Gwinnett County,2016,Evermore CID,N/A,N/A,0.2,0008905,,Programmed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),ROW,AUTH,2010,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$220,241","$0,000","$220,241","$433,600","$0,000","$340,521","$0,000","$774,121"
GW-340,OLD HIGHWAY 78 / WALTON COURT RE-ALIGNMENT,Gwinnett County,2016,Evermore CID,N/A,N/A,0.2,0008905,,Programmed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),UTL,  ,2012,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$11,880","$0,000","$11,880","$433,600","$0,000","$340,521","$0,000","$774,121"
GW-340,OLD HIGHWAY 78 / WALTON COURT RE-ALIGNMENT,Gwinnett County,2016,Evermore CID,N/A,N/A,0.2,0008905,,Programmed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2012,STP - Urban (>200K) (ARC),"$233,600","$0,000","$58,400","$0,000","$292,000","$433,600","$0,000","$340,521","$0,000","$774,121"
