ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
RO-034,OLD COVINGTON HIGHWAY,Rockdale County,2020,GRTA,2,4,0.7,752270-,FROM GREEN STREET TO SR 138/20 (WALNUT GROVE ROAD),Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,2004,State Bonds,"$0,000","$0,000","$0,000","$307,000","$307,000","$0,000","$0,000","$4,192,850","$3,908,000","$8,100,850"
RO-034,OLD COVINGTON HIGHWAY,Rockdale County,2020,GRTA,2,4,0.7,752270-,FROM GREEN STREET TO SR 138/20 (WALNUT GROVE ROAD),Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,AUTH,2007,State Bonds,"$0,000","$0,000","$3,128,850","$1,737,000","$4,865,850","$0,000","$0,000","$4,192,850","$3,908,000","$8,100,850"
RO-034,OLD COVINGTON HIGHWAY,Rockdale County,2020,GRTA,2,4,0.7,752270-,FROM GREEN STREET TO SR 138/20 (WALNUT GROVE ROAD),Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2010,State Bonds,"$0,000","$0,000","$1,064,000","$1,864,000","$2,928,000","$0,000","$0,000","$4,192,850","$3,908,000","$8,100,850"
