ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
GW-379,WALTHER BOULEVARD GRADE SEPARATION,Gwinnett County,2016,GDOT,0,2,0.2,0010425,AT SR 316,Programmed,Roadway / General Purpose Capacity,In the Region's Air Quality Conformity Analysis,PE,  ,2012,National Highway System,"$204,000","$51,000","$0,000","$0,000","$255,000","$2,801,837","$700,459","$1,400,000","$0,000","$4,902,296"
GW-379,WALTHER BOULEVARD GRADE SEPARATION,Gwinnett County,2016,GDOT,0,2,0.2,0010425,AT SR 316,Programmed,Roadway / General Purpose Capacity,In the Region's Air Quality Conformity Analysis,ROW,  ,2014,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$1,400,000","$0,000","$1,400,000","$2,801,837","$700,459","$1,400,000","$0,000","$4,902,296"
GW-379,WALTHER BOULEVARD GRADE SEPARATION,Gwinnett County,2016,GDOT,0,2,0.2,0010425,AT SR 316,Programmed,Roadway / General Purpose Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2015,National Highway System,"$2,597,837","$649,459","$0,000","$0,000","$3,247,296","$2,801,837","$700,459","$1,400,000","$0,000","$4,902,296"
