ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
GW-308A1,METRO ARTERIAL CONNECTOR [ALIGNMENT BYPASSING CITY OF LAWRENCEVILLE] - SUGARLOAF PARKWAY EXTENSION: PHASE 1A,Gwinnett County,2010,Gwinnett County,0,4,2.0,N/A,FROM INTERSECTION OF SUGARLOAF PARKWAY AND SR 20 (GRAYSON HIGHWAY) TO NEW HOPE ROAD,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,AUTH,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$1,000,000","$0,000","$1,000,000","$0,000","$0,000","$28,000,000","$0,000","$28,000,000"
GW-308A1,METRO ARTERIAL CONNECTOR [ALIGNMENT BYPASSING CITY OF LAWRENCEVILLE] - SUGARLOAF PARKWAY EXTENSION: PHASE 1A,Gwinnett County,2010,Gwinnett County,0,4,2.0,N/A,FROM INTERSECTION OF SUGARLOAF PARKWAY AND SR 20 (GRAYSON HIGHWAY) TO NEW HOPE ROAD,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,AUTH,AUTH,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$10,000,000","$0,000","$10,000,000","$0,000","$0,000","$28,000,000","$0,000","$28,000,000"
GW-308A1,METRO ARTERIAL CONNECTOR [ALIGNMENT BYPASSING CITY OF LAWRENCEVILLE] - SUGARLOAF PARKWAY EXTENSION: PHASE 1A,Gwinnett County,2010,Gwinnett County,0,4,2.0,N/A,FROM INTERSECTION OF SUGARLOAF PARKWAY AND SR 20 (GRAYSON HIGHWAY) TO NEW HOPE ROAD,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,AUTH,2008,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$17,000,000","$0,000","$17,000,000","$0,000","$0,000","$28,000,000","$0,000","$28,000,000"
