ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
FA-253,TDK BOULEVARD EXTENSION,Fayette County,2010,Fayette County,0,2,1.8,S006103,FROM MCINTOSH TRAIL IN COWETA COUNTY TO INTERSECTION OF TDK BOULEVARD AND DIVIDEND DRIVE,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,AUTH,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$1,227,000","$2,901,200","$0,000","$4,128,200"
FA-253,TDK BOULEVARD EXTENSION,Fayette County,2010,Fayette County,0,2,1.8,S006103,FROM MCINTOSH TRAIL IN COWETA COUNTY TO INTERSECTION OF TDK BOULEVARD AND DIVIDEND DRIVE,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,AUTH,AUTH,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$1,227,000","$2,901,200","$0,000","$4,128,200"
FA-253,TDK BOULEVARD EXTENSION,Fayette County,2010,Fayette County,0,2,1.8,S006103,FROM MCINTOSH TRAIL IN COWETA COUNTY TO INTERSECTION OF TDK BOULEVARD AND DIVIDEND DRIVE,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2009,Local Jurisdiction/Municipality Funds,"$0,000","$1,227,000","$2,901,200","$0,000","$4,128,200","$0,000","$1,227,000","$2,901,200","$0,000","$4,128,200"
