ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
FS-218,HISTORIC DEPOT REHABILITATION IN PALMETTO,Fulton County (South),2020,GDOT,N/A,N/A,N/A,0008140,,Completed,Other / Miscellaneous,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,ARRA - Transportation Enhancements,"$750,400","$0,000","$0,000","$0,000","$750,400","$750,400","$0,000","$187,600","$0,000","$938,000"
FS-218,HISTORIC DEPOT REHABILITATION IN PALMETTO,Fulton County (South),2020,GDOT,N/A,N/A,N/A,0008140,,Completed,Other / Miscellaneous,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2011,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$187,600","$0,000","$187,600","$750,400","$0,000","$187,600","$0,000","$938,000"
