ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
RO-231,LENORA CHURCH ROAD,Rockdale County,2010,GRTA,N/A,N/A,0.4,0004648,AT PLEASANT HILL ROAD,Completed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,2004,State Bonds,"$0,000","$0,000","$0,000","$75,000","$75,000","$0,000","$0,000","$27,875","$695,000","$722,875"
RO-231,LENORA CHURCH ROAD,Rockdale County,2010,GRTA,N/A,N/A,0.4,0004648,AT PLEASANT HILL ROAD,Completed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),ROW,AUTH,2004,State Bonds,"$0,000","$0,000","$27,875","$25,000","$52,875","$0,000","$0,000","$27,875","$695,000","$722,875"
RO-231,LENORA CHURCH ROAD,Rockdale County,2010,GRTA,N/A,N/A,0.4,0004648,AT PLEASANT HILL ROAD,Completed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2008,State Bonds,"$0,000","$0,000","$0,000","$595,000","$595,000","$0,000","$0,000","$27,875","$695,000","$722,875"
