ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AT-076B,US 41 (NORTHSIDE DRIVE),City of Atlanta,2030,GDOT,N/A,N/A,0.6,721750-,FROM US 78 / 278 (NORTH AVENUE) TO MARIETTA STREET,Programmed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,AUTH,STP - Statewide Flexible (GDOT),"$0,000","$0,000","$0,000","$0,000","$0,000","$4,233,231","$1,058,308","$0,000","$0,000","$5,291,539"
AT-076B,US 41 (NORTHSIDE DRIVE),City of Atlanta,2030,GDOT,N/A,N/A,0.6,721750-,FROM US 78 / 278 (NORTH AVENUE) TO MARIETTA STREET,Programmed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),ROW,  ,2015,STP - Statewide Flexible (GDOT),"$1,833,231","$458,308","$0,000","$0,000","$2,291,539","$4,233,231","$1,058,308","$0,000","$0,000","$5,291,539"
AT-076B,US 41 (NORTHSIDE DRIVE),City of Atlanta,2030,GDOT,N/A,N/A,0.6,721750-,FROM US 78 / 278 (NORTH AVENUE) TO MARIETTA STREET,Programmed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,LR 2018-2030,General Federal Aid - 2018-2040,"$2,400,000","$600,000","$0,000","$0,000","$3,000,000","$4,233,231","$1,058,308","$0,000","$0,000","$5,291,539"
