ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
CO-323,SR 360 (POWDER SPRINGS ROAD),Cobb County,2020,Cobb County,N/A,N/A,0.87,0004449,AT CHEATHAM HILL ROAD / CALLAWAY ROAD,Programmed,Roadway Operational Upgrades,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,2004,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$97,533","$0,000","$97,533","$1,285,600","$0,000","$938,933","$0,000","$2,224,533"
CO-323,SR 360 (POWDER SPRINGS ROAD),Cobb County,2020,Cobb County,N/A,N/A,0.87,0004449,AT CHEATHAM HILL ROAD / CALLAWAY ROAD,Programmed,Roadway Operational Upgrades,Exempt from Air Quality Analysis (40 CFR 93),ROW,  ,2010,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$520,000","$0,000","$520,000","$1,285,600","$0,000","$938,933","$0,000","$2,224,533"
CO-323,SR 360 (POWDER SPRINGS ROAD),Cobb County,2020,Cobb County,N/A,N/A,0.87,0004449,AT CHEATHAM HILL ROAD / CALLAWAY ROAD,Programmed,Roadway Operational Upgrades,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2011,STP - Urban (>200K) (ARC),"$1,285,600","$0,000","$321,400","$0,000","$1,607,000","$1,285,600","$0,000","$938,933","$0,000","$2,224,533"
