ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
GW-271B,PLEASANT HILL ROAD,Gwinnett County,2030,Gwinnett County,4,6,2.6,0006922,FROM BUFORD HIGHWAY (US 23) TO CHATTAHOOCHEE RIVER,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,2006,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$1,000,000","$0,000","$1,000,000","$17,740,800","$0,000","$8,560,200","$0,000","$26,301,000"
GW-271B,PLEASANT HILL ROAD,Gwinnett County,2030,Gwinnett County,4,6,2.6,0006922,FROM BUFORD HIGHWAY (US 23) TO CHATTAHOOCHEE RIVER,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,AUTH,2009,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$3,125,000","$0,000","$3,125,000","$17,740,800","$0,000","$8,560,200","$0,000","$26,301,000"
GW-271B,PLEASANT HILL ROAD,Gwinnett County,2030,Gwinnett County,4,6,2.6,0006922,FROM BUFORD HIGHWAY (US 23) TO CHATTAHOOCHEE RIVER,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,LR 2021-2030,General Federal Aid - 2014-2030,"$17,740,800","$0,000","$4,435,200","$0,000","$22,176,000","$17,740,800","$0,000","$8,560,200","$0,000","$26,301,000"
