ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
CO-363,SR 120 (ROSWELL ROAD),Cobb County,2020,Cobb County,N/A,N/A,N/A,N/A,AT OLD CANTON ROAD,Completed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,2007,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$31,000","$0,000","$31,000","$0,000","$0,000","$386,000","$0,000","$386,000"
CO-363,SR 120 (ROSWELL ROAD),Cobb County,2020,Cobb County,N/A,N/A,N/A,N/A,AT OLD CANTON ROAD,Completed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),ROW,AUTH,2008,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$47,000","$0,000","$47,000","$0,000","$0,000","$386,000","$0,000","$386,000"
CO-363,SR 120 (ROSWELL ROAD),Cobb County,2020,Cobb County,N/A,N/A,N/A,N/A,AT OLD CANTON ROAD,Completed,Roadway / Operations & Safety,Exempt from Air Quality Analysis (40 CFR 93),CST,AUTH,2009,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$308,000","$0,000","$308,000","$0,000","$0,000","$386,000","$0,000","$386,000"
