ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
FS-048,SR 70 (FULTON INDUSTRIAL BOULEVARD),Fulton County (South),2010,GDOT,2,4,2.1,751710-,FROM INTERCHANGE DRIVE TO US 78/278 (BANKHEAD HIGHWAY),Under Contract,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,AUTH,MLP,"$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$9,539,000","$0,000","$0,000","$9,539,000"
FS-048,SR 70 (FULTON INDUSTRIAL BOULEVARD),Fulton County (South),2010,GDOT,2,4,2.1,751710-,FROM INTERCHANGE DRIVE TO US 78/278 (BANKHEAD HIGHWAY),Under Contract,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,AUTH,AUTH,MLP,"$0,000","$0,000","$0,000","$0,000","$0,000","$0,000","$9,539,000","$0,000","$0,000","$9,539,000"
FS-048,SR 70 (FULTON INDUSTRIAL BOULEVARD),Fulton County (South),2010,GDOT,2,4,2.1,751710-,FROM INTERCHANGE DRIVE TO US 78/278 (BANKHEAD HIGHWAY),Under Contract,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,AUTH,2006,MLP,"$0,000","$9,539,000","$0,000","$0,000","$9,539,000","$0,000","$9,539,000","$0,000","$0,000","$9,539,000"
