ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AT-108,SR 280 (JAMES JACKSON PARKWAY),City of Atlanta,2010,GDOT,2,4,1.1,752850-,AT CHATTAHOOCHEE RIVER - INCLUDES APPROACHES,Completed,Roadway / Bridge Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,AUTH,Bridge (On-System),"$0,000","$0,000","$0,000","$0,000","$0,000","$15,286,400","$3,821,600","$0,000","$0,000","$19,108,000"
AT-108,SR 280 (JAMES JACKSON PARKWAY),City of Atlanta,2010,GDOT,2,4,1.1,752850-,AT CHATTAHOOCHEE RIVER - INCLUDES APPROACHES,Completed,Roadway / Bridge Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,AUTH,STP - Statewide Flexible (GDOT),"$0,000","$0,000","$0,000","$0,000","$0,000","$15,286,400","$3,821,600","$0,000","$0,000","$19,108,000"
AT-108,SR 280 (JAMES JACKSON PARKWAY),City of Atlanta,2010,GDOT,2,4,1.1,752850-,AT CHATTAHOOCHEE RIVER - INCLUDES APPROACHES,Completed,Roadway / Bridge Capacity,In the Region's Air Quality Conformity Analysis,ROW,AUTH,2006,Bridge (On-System),"$1,412,000","$353,000","$0,000","$0,000","$1,765,000","$15,286,400","$3,821,600","$0,000","$0,000","$19,108,000"
AT-108,SR 280 (JAMES JACKSON PARKWAY),City of Atlanta,2010,GDOT,2,4,1.1,752850-,AT CHATTAHOOCHEE RIVER - INCLUDES APPROACHES,Completed,Roadway / Bridge Capacity,In the Region's Air Quality Conformity Analysis,CST,AUTH,2008,Bridge (On-System),"$8,324,800","$2,081,200","$0,000","$0,000","$10,406,000","$15,286,400","$3,821,600","$0,000","$0,000","$19,108,000"
AT-108,SR 280 (JAMES JACKSON PARKWAY),City of Atlanta,2010,GDOT,2,4,1.1,752850-,AT CHATTAHOOCHEE RIVER - INCLUDES APPROACHES,Completed,Roadway / Bridge Capacity,In the Region's Air Quality Conformity Analysis,CST,AUTH,2008,STP - Statewide Flexible (GDOT),"$5,549,600","$1,387,400","$0,000","$0,000","$6,937,000","$15,286,400","$3,821,600","$0,000","$0,000","$19,108,000"
