ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AT-086B,SPRING STREET OVER SOUTHERN RAIL LINE AND MARTA WEST LINE,City of Atlanta,2016,GDOT,4,4,0.4,752560-,FROM ALABAMA STREET TO MARIETTA STREET,Programmed,Roadway / Bridge Upgrade,Exempt from Air Quality Analysis (40 CFR 93),PE,AUTH,1998,Bridge (On-System),"$0,000","$0,000","$0,000","$0,000","$0,000","$12,658,471","$3,164,617","$0,000","$0,000","$15,823,088"
AT-086B,SPRING STREET OVER SOUTHERN RAIL LINE AND MARTA WEST LINE,City of Atlanta,2016,GDOT,4,4,0.4,752560-,FROM ALABAMA STREET TO MARIETTA STREET,Programmed,Roadway / Bridge Upgrade,Exempt from Air Quality Analysis (40 CFR 93),ROW,AUTH,2003,Bridge (On-System),"$0,000","$0,000","$0,000","$0,000","$0,000","$12,658,471","$3,164,617","$0,000","$0,000","$15,823,088"
AT-086B,SPRING STREET OVER SOUTHERN RAIL LINE AND MARTA WEST LINE,City of Atlanta,2016,GDOT,4,4,0.4,752560-,FROM ALABAMA STREET TO MARIETTA STREET,Programmed,Roadway / Bridge Upgrade,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Bridge (On-System),"$8,588,526","$2,147,131","$0,000","$0,000","$10,735,657","$12,658,471","$3,164,617","$0,000","$0,000","$15,823,088"
AT-086B,SPRING STREET OVER SOUTHERN RAIL LINE AND MARTA WEST LINE,City of Atlanta,2016,GDOT,4,4,0.4,752560-,FROM ALABAMA STREET TO MARIETTA STREET,Programmed,Roadway / Bridge Upgrade,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,SAFETEA-LU Earmark,"$4,069,945","$1,017,486","$0,000","$0,000","$5,087,431","$12,658,471","$3,164,617","$0,000","$0,000","$15,823,088"
