ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
HE-AR-166,US 19/41 (HERMAN TALMADGE HIGHWAY),Multi-County,2020,GDOT,4,6,8.5,0000294,FROM LAPRADE ROAD IN SPALDING COUNTY TO SR 20 (RICHARD PETTY BOULEVARD / WOOLSEY ROAD) IN HENRY COUNTY,Delete,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,PE,  ,2008,National Highway System,"$688,000","$172,000","$0,000","$0,000","$860,000","$38,780,800","$9,695,200","$0,000","$0,000","$48,476,000"
HE-AR-166,US 19/41 (HERMAN TALMADGE HIGHWAY),Multi-County,2020,GDOT,4,6,8.5,0000294,FROM LAPRADE ROAD IN SPALDING COUNTY TO SR 20 (RICHARD PETTY BOULEVARD / WOOLSEY ROAD) IN HENRY COUNTY,Delete,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,  ,LR 2014-2020,General Federal Aid - 2014-2030,"$1,977,600","$494,400","$0,000","$0,000","$2,472,000","$38,780,800","$9,695,200","$0,000","$0,000","$48,476,000"
HE-AR-166,US 19/41 (HERMAN TALMADGE HIGHWAY),Multi-County,2020,GDOT,4,6,8.5,0000294,FROM LAPRADE ROAD IN SPALDING COUNTY TO SR 20 (RICHARD PETTY BOULEVARD / WOOLSEY ROAD) IN HENRY COUNTY,Delete,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,LR 2014-2020,General Federal Aid - 2014-2030,"$36,115,200","$9,028,800","$0,000","$0,000","$45,144,000","$38,780,800","$9,695,200","$0,000","$0,000","$48,476,000"
