ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
CO-311,SR 92 (LAKE ACWORTH DRIVE),Cobb County,2020,GDOT,2,4,N/A,731865-,AT PROCTOR CREEK,Programmed,Bridge Capacity,In the Region's Air Quality Conformity Analysis,PE,AUTH,AUTH,Bridge (On-System),"$0,000","$0,000","$0,000","$0,000","$0,000","$5,186,732","$1,296,683","$0,000","$0,000","$6,483,415"
CO-311,SR 92 (LAKE ACWORTH DRIVE),Cobb County,2020,GDOT,2,4,N/A,731865-,AT PROCTOR CREEK,Programmed,Bridge Capacity,In the Region's Air Quality Conformity Analysis,ROW,  ,2013,Bridge (On-System),"$2,421,932","$605,483","$0,000","$0,000","$3,027,415","$5,186,732","$1,296,683","$0,000","$0,000","$6,483,415"
CO-311,SR 92 (LAKE ACWORTH DRIVE),Cobb County,2020,GDOT,2,4,N/A,731865-,AT PROCTOR CREEK,Programmed,Bridge Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,LR 2014-2020,General Federal Aid - 2014-2030,"$2,764,800","$691,200","$0,000","$0,000","$3,456,000","$5,186,732","$1,296,683","$0,000","$0,000","$6,483,415"
