ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-900,I-285 NORTH BUS RAPID TRANSIT (BRT),Multi-County,2030,ARC,N/A,N/A,6.6,0003534,FROM CUMBERLAND/GALLERIA AREA IN COBB COUNTY TO PERIMETER CENTER IN DEKALB COUNTY,Long Range,Fixed Guideway Transit Capital,In the Region's Air Quality Conformity Analysis,PE,AUTH,2007,National Highway System,"$3,200,000","$800,000","$0,000","$0,000","$4,000,000","$114,000,000","$28,500,000","$0,000","$138,500,000","$281,000,000"
AR-900,I-285 NORTH BUS RAPID TRANSIT (BRT),Multi-County,2030,ARC,N/A,N/A,6.6,0003534,FROM CUMBERLAND/GALLERIA AREA IN COBB COUNTY TO PERIMETER CENTER IN DEKALB COUNTY,Long Range,Fixed Guideway Transit Capital,In the Region's Air Quality Conformity Analysis,PE,AUTH,AUTH,State Bonds,"$0,000","$0,000","$0,000","$0,000","$0,000","$114,000,000","$28,500,000","$0,000","$138,500,000","$281,000,000"
AR-900,I-285 NORTH BUS RAPID TRANSIT (BRT),Multi-County,2030,ARC,N/A,N/A,6.6,0003534,FROM CUMBERLAND/GALLERIA AREA IN COBB COUNTY TO PERIMETER CENTER IN DEKALB COUNTY,Long Range,Fixed Guideway Transit Capital,In the Region's Air Quality Conformity Analysis,ROW,  ,LR 2021-2030,General Federal Aid - 2014-2030,"$22,800,000","$5,700,000","$0,000","$0,000","$28,500,000","$114,000,000","$28,500,000","$0,000","$138,500,000","$281,000,000"
AR-900,I-285 NORTH BUS RAPID TRANSIT (BRT),Multi-County,2030,ARC,N/A,N/A,6.6,0003534,FROM CUMBERLAND/GALLERIA AREA IN COBB COUNTY TO PERIMETER CENTER IN DEKALB COUNTY,Long Range,Fixed Guideway Transit Capital,In the Region's Air Quality Conformity Analysis,ROW,  ,LR 2021-2030,GRV BONDS (GARVEE Bond Program),"$0,000","$0,000","$0,000","$28,500,000","$28,500,000","$114,000,000","$28,500,000","$0,000","$138,500,000","$281,000,000"
AR-900,I-285 NORTH BUS RAPID TRANSIT (BRT),Multi-County,2030,ARC,N/A,N/A,6.6,0003534,FROM CUMBERLAND/GALLERIA AREA IN COBB COUNTY TO PERIMETER CENTER IN DEKALB COUNTY,Long Range,Fixed Guideway Transit Capital,In the Region's Air Quality Conformity Analysis,CST,  ,LR 2021-2030,General Federal Aid - 2014-2030,"$88,000,000","$22,000,000","$0,000","$0,000","$110,000,000","$114,000,000","$28,500,000","$0,000","$138,500,000","$281,000,000"
AR-900,I-285 NORTH BUS RAPID TRANSIT (BRT),Multi-County,2030,ARC,N/A,N/A,6.6,0003534,FROM CUMBERLAND/GALLERIA AREA IN COBB COUNTY TO PERIMETER CENTER IN DEKALB COUNTY,Long Range,Fixed Guideway Transit Capital,In the Region's Air Quality Conformity Analysis,CST,  ,LR 2021-2030,GRV BONDS (GARVEE Bond Program),"$0,000","$0,000","$0,000","$110,000,000","$110,000,000","$114,000,000","$28,500,000","$0,000","$138,500,000","$281,000,000"
