ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
DK-270A,LITHONIA INDUSTRIAL BOULEVARD EXTENSION : PHASE I,DeKalb County,2020,GRTA,0,4,1.1,753230-,FROM SOUTH STONE MOUNTAIN - LITHONIA ROAD TO ROGERS LAKE ROAD,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,ROW,AUTH,2006,State Bonds,"$0,000","$0,000","$1,577,000","$1,500,000","$3,077,000","$5,509,598","$179,400","$2,954,400","$1,500,000","$10,143,398"
DK-270A,LITHONIA INDUSTRIAL BOULEVARD EXTENSION : PHASE I,DeKalb County,2020,GRTA,0,4,1.1,753230-,FROM SOUTH STONE MOUNTAIN - LITHONIA ROAD TO ROGERS LAKE ROAD,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2010,Federal Earmark Funding,"$717,598","$179,400","$179,400","$0,000","$1,076,398","$5,509,598","$179,400","$2,954,400","$1,500,000","$10,143,398"
DK-270A,LITHONIA INDUSTRIAL BOULEVARD EXTENSION : PHASE I,DeKalb County,2020,GRTA,0,4,1.1,753230-,FROM SOUTH STONE MOUNTAIN - LITHONIA ROAD TO ROGERS LAKE ROAD,Programmed,General Purpose Roadway Capacity,In the Region's Air Quality Conformity Analysis,CST,  ,2010,STP - Urban (>200K) (ARC),"$4,792,000","$0,000","$1,198,000","$0,000","$5,990,000","$5,509,598","$179,400","$2,954,400","$1,500,000","$10,143,398"
