ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
AR-375D,PURCHASE OF CLEAN FUEL BUSES FOR REGIONAL EXPRESS BUS SERVICE,Regional,2010,GRTA,N/A,N/A,N/A,0003540,,Completed,Transit / Bus Capital,In the Region's Air Quality Conformity Analysis,CST,AUTH,2006,Bus - New (80/20),"$1,800,000","$450,000","$0,000","$0,000","$2,250,000","$1,800,000","$450,000","$0,000","$20,774,600","$23,024,600"
AR-375D,PURCHASE OF CLEAN FUEL BUSES FOR REGIONAL EXPRESS BUS SERVICE,Regional,2010,GRTA,N/A,N/A,N/A,0003540,,Completed,Transit / Bus Capital,In the Region's Air Quality Conformity Analysis,CST,AUTH,2006,State Bonds,"$0,000","$0,000","$0,000","$10,500,000","$10,500,000","$1,800,000","$450,000","$0,000","$20,774,600","$23,024,600"
AR-375D,PURCHASE OF CLEAN FUEL BUSES FOR REGIONAL EXPRESS BUS SERVICE,Regional,2010,GRTA,N/A,N/A,N/A,0003540,,Completed,Transit / Bus Capital,In the Region's Air Quality Conformity Analysis,CST,AUTH,2008,State Bonds,"$0,000","$0,000","$0,000","$10,274,600","$10,274,600","$1,800,000","$450,000","$0,000","$20,774,600","$23,024,600"
