ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
ORP-CO-431,SR 120 (DALLAS HIGHWAY) PEDESTRIAN IMPROVEMENTS - PHASE IV,Cobb County,2020,Cobb County,N/A,N/A,2.5,N/A,FROM SR 176 (LOST MOUNTAIN ROAD) TO CASTEEL ROAD,ORP List,Last Mile Connectivity / Pedestrian Facility,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2011,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$300,000","$0,000","$300,000","$0,000","$0,000","$3,100,000","$0,000","$3,100,000"
ORP-CO-431,SR 120 (DALLAS HIGHWAY) PEDESTRIAN IMPROVEMENTS - PHASE IV,Cobb County,2020,Cobb County,N/A,N/A,2.5,N/A,FROM SR 176 (LOST MOUNTAIN ROAD) TO CASTEEL ROAD,ORP List,Last Mile Connectivity / Pedestrian Facility,Exempt from Air Quality Analysis (40 CFR 93),ROW,  ,2012,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$300,000","$0,000","$300,000","$0,000","$0,000","$3,100,000","$0,000","$3,100,000"
ORP-CO-431,SR 120 (DALLAS HIGHWAY) PEDESTRIAN IMPROVEMENTS - PHASE IV,Cobb County,2020,Cobb County,N/A,N/A,2.5,N/A,FROM SR 176 (LOST MOUNTAIN ROAD) TO CASTEEL ROAD,ORP List,Last Mile Connectivity / Pedestrian Facility,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$2,500,000","$0,000","$2,500,000","$0,000","$0,000","$3,100,000","$0,000","$3,100,000"
