ARCID,Description,Jurisdiction,ModelingNetworkYear,Sponsor,ExistLanes,ProposedLanes,Length,GDOTPI,Limits,Status,ProjectType,Analysis,Phase,PhaseStatus,FiscalYear,FundSource,Federal,State,Local,Bond,Total,FederalSum,StateSum,LocalSum,BondSum,TotalSum
ORP-CO-428,EAST COBB TRAIL ALONG SR 120 (ROSWELL ROAD): PHASE 1B,Cobb County,2020,Cobb County,N/A,N/A,1.1,N/A,FROM BRIDGEGATE DRIVE TO MANOR CREST COURT,ORP List,Last Mile Connectivity / Sidepaths and Trails,Exempt from Air Quality Analysis (40 CFR 93),PE,  ,2011,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$300,000","$0,000","$300,000","$0,000","$0,000","$2,245,000","$0,000","$2,245,000"
ORP-CO-428,EAST COBB TRAIL ALONG SR 120 (ROSWELL ROAD): PHASE 1B,Cobb County,2020,Cobb County,N/A,N/A,1.1,N/A,FROM BRIDGEGATE DRIVE TO MANOR CREST COURT,ORP List,Last Mile Connectivity / Sidepaths and Trails,Exempt from Air Quality Analysis (40 CFR 93),ROW,  ,2012,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$175,000","$0,000","$175,000","$0,000","$0,000","$2,245,000","$0,000","$2,245,000"
ORP-CO-428,EAST COBB TRAIL ALONG SR 120 (ROSWELL ROAD): PHASE 1B,Cobb County,2020,Cobb County,N/A,N/A,1.1,N/A,FROM BRIDGEGATE DRIVE TO MANOR CREST COURT,ORP List,Last Mile Connectivity / Sidepaths and Trails,Exempt from Air Quality Analysis (40 CFR 93),CST,  ,2013,Local Jurisdiction/Municipality Funds,"$0,000","$0,000","$1,770,000","$0,000","$1,770,000","$0,000","$0,000","$2,245,000","$0,000","$2,245,000"
